city,state,date,price,region
California,CA,2019.03.31,555975,WEST
California,CA,2020.03.31,578915,WEST
California,CA,2021.03.31,644020,WEST
Texas,TX,2019.03.31,205497,SOUTH
Texas,TX,2020.03.31,211681,SOUTH
Texas,TX,2021.03.31,231384,SOUTH
New York,NY,2019.03.31,319626,NORTHEAST
New York,NY,2020.03.31,326839,NORTHEAST
New York,NY,2021.03.31,355963,NORTHEAST
Florida,FL,2019.03.31,243560,SOUTH
Florida,FL,2020.03.31,252251,SOUTH
Florida,FL,2021.03.31,277429,SOUTH
Illinois,IL,2019.03.31,206908,MIDWEST
Illinois,IL,2020.03.31,209412,MIDWEST
Illinois,IL,2021.03.31,225595,MIDWEST
Pennsylvania,PA,2019.03.31,191518,NORTHEAST
Pennsylvania,PA,2020.03.31,199031,NORTHEAST
Pennsylvania,PA,2021.03.31,221251,NORTHEAST
Ohio,OH,2019.03.31,147367,MIDWEST
Ohio,OH,2020.03.31,155118,MIDWEST
Ohio,OH,2021.03.31,173380,MIDWEST
Michigan,MI,2019.03.31,170882,MIDWEST
Michigan,MI,2020.03.31,179427,MIDWEST
Michigan,MI,2021.03.31,199051,MIDWEST
Georgia,GA,2019.03.31,200185,SOUTH
Georgia,GA,2020.03.31,209846,SOUTH
Georgia,GA,2021.03.31,232144,SOUTH
North Carolina,NC,2019.03.31,200767,SOUTH
North Carolina,NC,2020.03.31,211094,SOUTH
North Carolina,NC,2021.03.31,234934,SOUTH
New Jersey,NJ,2019.03.31,337440,NORTHEAST
New Jersey,NJ,2020.03.31,344617,NORTHEAST
New Jersey,NJ,2021.03.31,387105,NORTHEAST
Virginia,VA,2019.03.31,279770,SOUTH
Virginia,VA,2020.03.31,289773,SOUTH
Virginia,VA,2021.03.31,315924,SOUTH
Washington,WA,2019.03.31,403380,WEST
Washington,WA,2020.03.31,429556,WEST
Washington,WA,2021.03.31,488114,WEST
Massachusetts,MA,2019.03.31,424987,NORTHEAST
Massachusetts,MA,2020.03.31,438231,NORTHEAST
Massachusetts,MA,2021.03.31,490712,NORTHEAST
Indiana,IN,2019.03.31,151940,MIDWEST
Indiana,IN,2020.03.31,160188,MIDWEST
Indiana,IN,2021.03.31,177309,MIDWEST
Arizona,AZ,2019.03.31,256987,WEST
Arizona,AZ,2020.03.31,275891,WEST
Arizona,AZ,2021.03.31,329496,WEST
Tennessee,TN,2019.03.31,182329,SOUTH
Tennessee,TN,2020.03.31,193081,SOUTH
Tennessee,TN,2021.03.31,214708,SOUTH
Missouri,MO,2019.03.31,161318,MIDWEST
Missouri,MO,2020.03.31,167621,MIDWEST
Missouri,MO,2021.03.31,185247,MIDWEST
Maryland,MD,2019.03.31,312792,SOUTH
Maryland,MD,2020.03.31,317629,SOUTH
Maryland,MD,2021.03.31,351766,SOUTH
Wisconsin,WI,2019.03.31,188859,MIDWEST
Wisconsin,WI,2020.03.31,198584,MIDWEST
Wisconsin,WI,2021.03.31,219942,MIDWEST
Minnesota,MN,2019.03.31,254587,MIDWEST
Minnesota,MN,2020.03.31,265642,MIDWEST
Minnesota,MN,2021.03.31,289798,MIDWEST
Colorado,CO,2019.03.31,401434,WEST
Colorado,CO,2020.03.31,413915,WEST
Colorado,CO,2021.03.31,458015,WEST
Alabama,AL,2019.03.31,141475,SOUTH
Alabama,AL,2020.03.31,149248,SOUTH
Alabama,AL,2021.03.31,163900,SOUTH
South Carolina,SC,2019.03.31,187601,SOUTH
South Carolina,SC,2020.03.31,194996,SOUTH
South Carolina,SC,2021.03.31,213450,SOUTH
Louisiana,LA,2019.03.31,169256,SOUTH
Louisiana,LA,2020.03.31,173220,SOUTH
Louisiana,LA,2021.03.31,181984,SOUTH
Kentucky,KY,2019.03.31,143477,SOUTH
Kentucky,KY,2020.03.31,150860,SOUTH
Kentucky,KY,2021.03.31,163721,SOUTH
Oregon,OR,2019.03.31,359978,WEST
Oregon,OR,2020.03.31,372563,WEST
Oregon,OR,2021.03.31,416263,WEST
