RegionName,StateName,date,price
California,CA,X2019.01.31,558168
California,CA,X2019.02.28,556739
California,CA,X2019.03.31,555975
California,CA,X2019.04.30,556826
California,CA,X2019.05.31,559568
California,CA,X2019.06.30,562783
California,CA,X2019.07.31,564420
California,CA,X2019.08.31,564654
California,CA,X2019.09.30,564697
California,CA,X2019.10.31,565296
California,CA,X2019.11.30,566159
California,CA,X2019.12.31,568110
California,CA,X2020.01.31,571017
California,CA,X2020.02.29,574798
California,CA,X2020.03.31,578915
California,CA,X2020.04.30,582467
California,CA,X2020.05.31,584678
California,CA,X2020.06.30,586539
California,CA,X2020.07.31,590351
California,CA,X2020.08.31,596342
California,CA,X2020.09.30,603278
California,CA,X2020.10.31,610138
California,CA,X2020.11.30,617015
California,CA,X2020.12.31,623796
California,CA,X2021.01.31,630371
California,CA,X2021.02.28,637108
California,CA,X2021.03.31,644020
Texas,TX,X2019.01.31,203893
Texas,TX,X2019.02.28,204825
Texas,TX,X2019.03.31,205497
Texas,TX,X2019.04.30,205959
Texas,TX,X2019.05.31,206605
Texas,TX,X2019.06.30,207320
Texas,TX,X2019.07.31,208068
Texas,TX,X2019.08.31,208693
Texas,TX,X2019.09.30,209271
Texas,TX,X2019.10.31,209493
Texas,TX,X2019.11.30,209733
Texas,TX,X2019.12.31,209927
Texas,TX,X2020.01.31,210512
Texas,TX,X2020.02.29,210946
Texas,TX,X2020.03.31,211681
Texas,TX,X2020.04.30,212380
Texas,TX,X2020.05.31,213279
Texas,TX,X2020.06.30,214177
Texas,TX,X2020.07.31,215239
Texas,TX,X2020.08.31,216512
Texas,TX,X2020.09.30,218049
Texas,TX,X2020.10.31,219954
Texas,TX,X2020.11.30,222061
Texas,TX,X2020.12.31,224301
Texas,TX,X2021.01.31,226382
Texas,TX,X2021.02.28,228836
Texas,TX,X2021.03.31,231384
New York,NY,X2019.01.31,317408
New York,NY,X2019.02.28,318404
New York,NY,X2019.03.31,319626
New York,NY,X2019.04.30,320701
New York,NY,X2019.05.31,321920
New York,NY,X2019.06.30,322854
New York,NY,X2019.07.31,323510
New York,NY,X2019.08.31,323829
New York,NY,X2019.09.30,323805
New York,NY,X2019.10.31,323642
New York,NY,X2019.11.30,323602
New York,NY,X2019.12.31,323958
New York,NY,X2020.01.31,324770
New York,NY,X2020.02.29,325783
New York,NY,X2020.03.31,326839
New York,NY,X2020.04.30,328079
New York,NY,X2020.05.31,329243
New York,NY,X2020.06.30,330619
New York,NY,X2020.07.31,332359
New York,NY,X2020.08.31,334534
New York,NY,X2020.09.30,337161
New York,NY,X2020.10.31,340193
New York,NY,X2020.11.30,343397
New York,NY,X2020.12.31,346590
New York,NY,X2021.01.31,349599
New York,NY,X2021.02.28,352706
New York,NY,X2021.03.31,355963
