date,region,sales_count
2019-06-30,MIDWEST,3281.6111111111113
2019-06-30,NORTHEAST,3078.125
2019-06-30,SOUTH,3358.1315789473683
2019-06-30,WEST,3061.9583333333335
2019-07-31,MIDWEST,3351
2019-07-31,NORTHEAST,3290.125
2019-07-31,SOUTH,3455.4210526315787
2019-07-31,WEST,3191.7083333333335
2019-08-31,MIDWEST,3249.3888888888887
2019-08-31,NORTHEAST,3272.3125
2019-08-31,SOUTH,3298.4210526315787
2019-08-31,WEST,3104.5
2019-09-30,MIDWEST,2750.722222222222
2019-09-30,NORTHEAST,2737.4375
2019-09-30,SOUTH,2827.1315789473683
2019-09-30,WEST,2724.375
2019-10-31,MIDWEST,2827.222222222222
2019-10-31,NORTHEAST,2824.5625
2019-10-31,SOUTH,2941.2105263157896
2019-10-31,WEST,2869.25
2019-11-30,MIDWEST,2347.1666666666665
2019-11-30,NORTHEAST,2468.125
2019-11-30,SOUTH,2503.7894736842104
2019-11-30,WEST,2455.5833333333335
2019-12-31,MIDWEST,2363.777777777778
2019-12-31,NORTHEAST,2615
2019-12-31,SOUTH,2865.184210526316
2019-12-31,WEST,2578.75
2020-01-31,MIDWEST,1896.611111111111
2020-01-31,NORTHEAST,2171.875
2020-01-31,SOUTH,2169.4473684210525
2020-01-31,WEST,1998.7916666666667
2020-02-29,MIDWEST,1739.2777777777778
2020-02-29,NORTHEAST,1815.1875
2020-02-29,SOUTH,2262.7894736842104
2020-02-29,WEST,2099.0416666666665
2020-03-31,MIDWEST,2239.222222222222
2020-03-31,NORTHEAST,2138.3125
2020-03-31,SOUTH,2980.2105263157896
2020-03-31,WEST,2599
2020-04-30,MIDWEST,2218.5555555555557
2020-04-30,NORTHEAST,1903.125
2020-04-30,SOUTH,2566.7631578947367
2020-04-30,WEST,2118
2020-05-31,MIDWEST,2177.3888888888887
2020-05-31,NORTHEAST,1888.125
2020-05-31,SOUTH,2419.3684210526317
2020-05-31,WEST,1946.0416666666667
2020-06-30,MIDWEST,2865.6111111111113
2020-06-30,NORTHEAST,2300.6875
2020-06-30,SOUTH,3302.5526315789475
2020-06-30,WEST,2775.6666666666665
2020-07-31,MIDWEST,3439.0555555555557
2020-07-31,NORTHEAST,3098.125
2020-07-31,SOUTH,3736.3684210526317
2020-07-31,WEST,3337.4166666666665
2020-08-31,MIDWEST,3503.1666666666665
2020-08-31,NORTHEAST,3334.8125
2020-08-31,SOUTH,3485.184210526316
2020-08-31,WEST,3118.7083333333335
2020-09-30,MIDWEST,3423.277777777778
2020-09-30,NORTHEAST,3319.625
2020-09-30,SOUTH,3415.2631578947367
2020-09-30,WEST,3245.0416666666665
2020-10-31,MIDWEST,3649.0555555555557
2020-10-31,NORTHEAST,3597.6875
2020-10-31,SOUTH,3452.4210526315787
2020-10-31,WEST,3294.375
2020-11-30,MIDWEST,3099.1111111111113
2020-11-30,NORTHEAST,3155.625
2020-11-30,SOUTH,2996.8947368421054
2020-11-30,WEST,2866
2020-12-31,MIDWEST,3142.222222222222
2020-12-31,NORTHEAST,3520.8125
2020-12-31,SOUTH,3476.7894736842104
2020-12-31,WEST,3065.0416666666665
2021-01-31,MIDWEST,2704.8
2021-01-31,NORTHEAST,2776.8
2021-01-31,SOUTH,2483.5789473684213
2021-01-31,WEST,2152.5238095238096
2021-02-28,MIDWEST,2527.266666666667
2021-02-28,NORTHEAST,2301.8
2021-02-28,SOUTH,2477.5263157894738
2021-02-28,WEST,2232.9523809523807
2021-03-31,MIDWEST,2943.8
2021-03-31,NORTHEAST,2715
2021-03-31,SOUTH,3208.8333333333335
2021-03-31,WEST,2729
