median_price,year,month,median_price_thousand,interest_rate
199859,2008,5,199.859,5.6
198542,2008,6,198.542,5.91
196324,2008,7,196.324,5.972
194388,2008,8,194.388,6.025
192115,2008,9,192.115,5.64
190463,2008,10,190.463,5.892
188478,2008,11,188.478,5.79
186401,2008,12,186.401,5.038
183493,2009,1,183.493,4.7175
181570,2009,2,181.57,4.7725
179998,2009,3,179.998,4.6375
180154,2009,4,180.154,4.5
178574,2009,5,178.574,4.515
178137,2009,6,178.137,4.9025
177513,2009,7,177.513,4.692
176424,2009,8,176.424,4.6125
175502,2009,9,175.502,4.4925
175116,2009,10,175.116,4.39
175314,2009,11,175.314,4.3425
175767,2009,12,175.767,4.392
177177,2010,1,177.177,4.4350000000000005
177588,2010,2,177.588,4.3675
178475,2010,3,178.475,4.33
177257,2010,4,177.257,4.418
176339,2010,5,176.339,4.2775
174250,2010,6,174.25,4.175
175237,2010,7,175.237,4.04
176365,2010,8,176.365,3.9074999999999998
178243,2010,9,178.243,3.81
177897,2010,10,177.897,3.66
177354,2010,11,177.354,3.6825
176935,2010,12,176.935,4.058
176615,2011,1,176.615,4.0875
176317,2011,2,176.317,4.215
174325,2011,3,174.325,4.08
173098,2011,4,173.098,4.055
171349,2011,5,171.349,3.8225
170952,2011,6,170.952,3.694
169531,2011,7,169.531,3.68
168859,2011,8,168.859,3.46
168211,2011,9,168.211,3.318
168120,2011,10,168.12,3.3475
168192,2011,11,168.192,3.3049999999999997
167646,2011,12,167.646,3.246
167499,2012,1,167.499,3.2
167557,2012,2,167.557,3.1625
168689,2012,3,168.689,3.198
171056,2012,4,171.056,3.1425
172996,2012,5,172.996,3.034
174858,2012,6,174.858,2.9525
175368,2012,7,175.368,2.8449999999999998
176058,2012,8,176.058,2.86
176845,2012,9,176.845,2.8025
177863,2012,10,177.863,2.6925
179686,2012,11,179.686,2.662
181057,2012,12,181.057,2.6574999999999998
182530,2013,1,182.53,2.696
183332,2013,2,183.332,2.7675
185008,2013,3,185.008,2.7575
186402,2013,4,186.402,2.66
188710,2013,5,188.71,2.722
190387,2013,6,190.387,3.1675
193078,2013,7,193.078,3.43
193897,2013,8,193.897,3.488
194790,2013,9,194.79,3.5225
195559,2013,10,195.559,3.274
195718,2013,11,195.718,3.2975
196609,2013,12,196.609,3.4825
196762,2014,1,196.762,3.48
198027,2014,2,198.027,3.35
198118,2014,3,198.118,3.36
198161,2014,4,198.161,3.3925
198126,2014,5,198.126,3.29
198792,2014,6,198.792,3.265
199614,2014,7,199.614,3.236
201399,2014,8,201.399,3.2475
201820,2014,9,201.82,3.3075
202511,2014,10,202.511,3.21
203126,2014,11,203.126,3.1875
204295,2014,12,204.295,3.128
205589,2015,1,205.589,2.985
206937,2015,2,206.937,3.0075
208689,2015,3,208.689,3.04
210173,2015,4,210.173,2.942
211146,2015,5,211.146,3.0625
211742,2015,6,211.742,3.1925
212108,2015,7,212.108,3.214
212234,2015,8,212.234,3.1275
213201,2015,9,213.201,3.0949999999999998
213402,2015,10,213.402,3.01
214551,2015,11,214.551,3.1625
215638,2015,12,215.638,3.206
217000,2016,1,217,3.155
216862,2016,2,216.862,2.96
216860,2016,3,216.86,2.966
217680,2016,4,217.68,2.87
219397,2016,5,219.397,2.8425000000000002
220148,2016,6,220.148,2.842
221068,2016,7,221.068,2.7475
221764,2016,8,221.764,2.745
223401,2016,9,223.401,2.756
225321,2016,10,225.321,2.7625
226670,2016,11,226.67,3.0275
227434,2016,12,227.434,3.428
227595,2017,1,227.595,3.3875
228495,2017,2,228.495,3.38
229120,2017,3,229.12,3.414
229997,2017,4,229.997,3.3
230493,2017,5,230.493,3.255
232396,2017,6,232.396,3.174
233505,2017,7,233.505,3.2350000000000003
235269,2017,8,235.269,3.16
236033,2017,9,236.033,3.105
237160,2017,10,237.16,3.2
237978,2017,11,237.978,3.288
238850,2017,12,238.85,3.385
240291,2018,1,240.291,3.4825
242371,2018,2,242.371,3.785
244085,2018,3,244.085,3.91
245182,2018,4,245.182,3.925
245679,2018,5,245.679,4.066
246353,2018,6,246.353,4.04
246002,2018,7,246.002,4.0075
245743,2018,8,245.743,4.018
244808,2018,9,244.808,4.08
244913,2018,10,244.913,4.2475000000000005
245195,2018,11,245.195,4.282
246543,2018,12,246.543,4.09
248538,2019,1,248.538,3.906
249365,2019,2,249.365,3.8
249805,2019,3,249.805,3.7175
251248,2019,4,251.248,3.605
254927,2019,5,254.927,3.534
257740,2019,6,257.74,3.2375
258895,2019,7,258.895,3.2025
257708,2019,8,257.708,3.082
256447,2019,9,256.447,3.115
256781,2019,10,256.781,3.142
257885,2019,11,257.885,3.1574999999999998
260338,2019,12,260.338,3.1775
261967,2020,1,261.967,3.072
264300,2020,2,264.3,2.97
264566,2020,3,264.566,2.885
267285,2020,4,267.285,2.804
267813,2020,5,267.813,2.6925
268778,2020,6,268.778,2.6025
271884,2020,7,271.884,2.52
276562,2020,8,276.562,2.475
281799,2020,9,281.799,2.385
285332,2020,10,285.332,2.346
288347,2020,11,288.347,2.3049999999999997
289966,2020,12,289.966,2.218
291972,2021,1,291.972,2.2
294069,2021,2,294.069,2.2375
